GONGIDI SUNEETHA,Alair,Telangana Rashtra Samithi,94870

BUDIDA BIKSHAMAIAH,Alair,Indian National Congress,61784

KALLURI RAMCHANDRA REDDY,Alair,Bahujan Samaj Party,11923

MOTHKUPALLY NARSIMHULU,Alair,Bahujana Left Party,10473

DONTHIRI SRIDHAR REDDY,Alair,Bharatiya Janata Party,4967

KANDADI MANIPAL REDDY,Alair,Telugu Congress Party,1230

SARITHA JANNE,Alair,Samajwadi Party,1200

DHEERAVATH GOPI NAYAK,Alair,Independent,1112

VYLA SRINIVAS REDDY,Alair,Independent,913

BOLLARAM RAMESH,Alair,Independent,380

MORIGADI KRISHNA,Alair,Independent,358

KOTHA KISTAIAH,Alair,Ambedkar National Congress,315

GUJJULA RAMCHANDRA REDDY,Alair,Independent,260

REGU ANAND,Alair,Bahujana Rashtra Samithi,231

None of the Above,Alair,None of the Above,1465

ASHANNAGARI JEEVAN REDDY,Aizawl North-ii,Telangana Rashtra Samithi,72125

AKULA LALITHA,Aizawl North-ii,Indian National Congress,43330

VINAY KUMAR REDDY PRODDUTURI,Aizawl North-ii,Bharatiya Janata Party,19599

KOMIREY SUDHAKAR,Aizawl North-ii,Bahujan Samaj Party,1724

SUNKE SRINIVAS,Aizawl North-ii,Independent,728

MASTHA DAYANAND,Aizawl North-ii,Republican Party of India (A),524

SINDUKAR CHARAN KUMAR,Aizawl North-ii,Ambedkar National Congress,388

GUNTI RAJA GANGARAM,Aizawl North-ii,Independent,322

None of the Above,Aizawl North-ii,None of the Above,1657

BAPU RAO RATHOD,Boath,Telangana Rashtra Samithi,61125

BAPU RAO SOYAM,Boath,Indian National Congress,54639

ANIL JADHAV,Boath,Independent,28206

MADAVI RAJU,Boath,Bharatiya Janata Party,4840

GAJENDER AADE,Boath,Bahujan Samaj Party,2658

KUMRAM KOTESHWAR,Boath,Nationalist Congress Party,1915

RAM CHOWHAN,Boath,Independent,1104

None of the Above,Boath,None of the Above,2275

BALKA SUMAN,Chennur,Telangana Rashtra Samithi,71980

VENKATESH NETHA BORLAKUNTA,Chennur,Indian National Congress,43848

SOGALA SANJEEV,Chennur,Republican Party of India (Khobragade),6274

ANDUGULA SRINIVAS,Chennur,Bharatiya Janata Party,2026

DAMUKA SURESH BABU,Chennur,Independent,1492

BOJJA RAMANA KUMARI,Chennur,Pyramid Party of India,1335

SUJATHA SUREPALLY,Chennur,Bahujan Samaj Party,1200

RAKESH REGUNTA,Chennur,Nava Praja Rajyam Party,1035

BODA JANARDHAN,Chennur,Bahujana Left Party,983

CHEEPELLI KIRAN,Chennur,Independent,937

THUNGAPINDI RAMESH,Chennur,Republican Party of India (A),830

BOJJA DASARATHAM,Chennur,Independent,589

NEELAM SURENDER,Chennur,Nationalist Congress Party,516

RAMAGIRI VIKRAM SINGH,Chennur,New India Party,484

None of the Above,Chennur,None of the Above,2135

KALE YADAIAH,Abhanpur,Telangana Rashtra Samithi,99168

K.S RATNAM,Abhanpur,Indian National Congress,65616

KANJARLA PRAKASH,Abhanpur,Bharatiya Janata Party,5474

KARRE SUNEEL KUMAR,Abhanpur,Bahujan Samaj Party,1706

RAVINDER MALA,Abhanpur,Republican Party of India,1334

ATHELI NARSIMULU,Abhanpur,Jai Swaraj Party,956

G. CHINA MANIKYAM,Abhanpur,All India Samata Party,560

J BHEEMAIAH,Abhanpur,Independent,492

UPPARI SRINIVAS,Abhanpur,Bahujana Raajyam Party (Phule Ambedkar),422

None of the Above,Abhanpur,None of the Above,1469

SOLIPETA RAMALINGA REDDY,Dubbak,Telangana Rashtra Samithi,89299

MADDULA NAGESHWAR REDDY,Dubbak,Indian National Congress,26799

MADAVANENI RAGHUNANDAN RAO,Dubbak,Bharatiya Janata Party,22595

POSANIPALLI MAHIPAL REDDY,Dubbak,Samajwadi Forward Bloc,12215

PEDDALINGANNAGARI PRASAD,Dubbak,Independent,3822

CHINDAM RAJKUMAR,Dubbak,Telangana Jana Samithi,2554

KISHAN RAO.D.,Dubbak,Bahujan Samaj Party,964

SHYAM SUNDHAR REDDY,Dubbak,Jai Maha Bharath Party,702

GOUTI MALLESH,Dubbak,Jai Swaraj Party,644

BONALA VIJAY KUMAR,Dubbak,Samajwadi Party,622

MADDULA RAJANI REDDY,Dubbak,Independent,490

GODDUBARLA BHASKAR,Dubbak,Communist Party of India  (Marxist),475

SUKURI ASHOK,Dubbak,Republican Party of India (A),469

BHUJANGAM GONDHI,Dubbak,Independent,438

JAKKULA NARSIMLU,Dubbak,Independent,418

RANGANNAGARI KRISHNA REDDY,Dubbak,India Praja Bandhu Party,347

ANJANEYULU GUNDABOINA,Dubbak,Independent,304

MADHAVA REDDYGARI HANUMANTHA REDDY,Dubbak,Shiv Sena,244

None of the Above,Dubbak,None of the Above,880

BANDLA KRISHNA MOHAN REDDY,Gadwal,Telangana Rashtra Samithi,100415

ARUNA D.K,Gadwal,Indian National Congress,72155

M.D. ABDUL MOHEED KHAN,Gadwal,Samajwadi Forward Bloc,7189

BOYA KRISHNA,Gadwal,Independent,2103

G.VENKATADRI REDDY,Gadwal,Bharatiya Janata Party,1936

VEERA PRASAD,Gadwal,Bahujan Samaj Party,1406

GONGALLA RANJITH KUMAR,Gadwal,Bahujana Left Party,1275

T.G.RAJU MUDHIRAJ,Gadwal,Independent,1101

ABDULLAH,Gadwal,Nationalist Congress Party,694

ATHIKUR RAHAMAN,Gadwal,Independent,620

PEDDA KRISHNAIAH,Gadwal,Independent,398

AKEPOGU RAJESH.A,Gadwal,Independent,226

ARUN KUMAR,Gadwal,Independent,179

BOYA SHANKAR NAIDU,Gadwal,Shiv Sena,176

None of the Above,Gadwal,None of the Above,1319

M.SANJAY KUMAR,Jagtial,Telangana Rashtra Samithi,104247

THATIPARTHI JEEVAN REDDY,Jagtial,Indian National Congress,43062

RAVINDER REDDY MUDUGANTI,Jagtial,Bharatiya Janata Party,4817

VADLAMANI SATHYANARAYANA MURTHY,Jagtial,Pyramid Party of India,1640

KAITHI SHANKAR,Jagtial,Bahujan Samaj Party,1276

KURMACHALAM UMA MAHESHWAR,Jagtial,All India Forward Bloc,760

SIRIKONDA RAVI SHANKAR,Jagtial,Independent,593

INDURI SULOCHANA,Jagtial,Bahujana Left Party,486

SABBU JAGAN,Jagtial,Independent,413

AKULA SRIKANTH KUMAR,Jagtial,Independent,364

VEMULA KARNAKAR REDDY,Jagtial,Independent,352

None of the Above,Jagtial,None of the Above,1710

HANMANTH SHINDE,Aizawl East-i,Telangana Rashtra Samithi,77584

GANGARAM SOUDAGAR,Aizawl East-i,Indian National Congress,41959

T. ARUNA THARA,Aizawl East-i,Bharatiya Janata Party,18840

KARROLLA MOHAN,Aizawl East-i,Independent,7727

LAXMAN,Aizawl East-i,Bahujan Samaj Party,1764

BHARATH WAGHMARE,Aizawl East-i,Bahujana Left Party,1102

G. SRINIVAS,Aizawl East-i,India Praja Bandhu Party,570

None of the Above,Aizawl East-i,None of the Above,1976

ANASUYA DANSARI,Mulug,Indian National Congress,88971

AZMEERA CHANDULAL,Mulug,Telangana Rashtra Samithi,66300

BORRA LAXMINARAYANA,Mulug,Independent,3348

BURKA CHINA VENKATAIAH,Mulug,Independent,2158

THAVITI NARAYANA,Mulug,Communist Party of India  (Marxist),1674

BANOTH DEVILAL,Mulug,Bharatiya Janata Party,1339

PUNEM MURALI KRISHNA,Mulug,Independent,510

KORNIBELLI GANESH,Mulug,Independent,323

KUDUMULA CHOKKAIAH,Mulug,Independent,271

CHELA VENKATA LAXMI,Mulug,Independent,256

BADI KRISHNA,Mulug,Telangana Prajala Party,218

GHANTAMURI SARAIAH,Mulug,Independent,163

None of the Above,Mulug,None of the Above,3249

